,필요한 이유,추천 성분,
갱년기여성(중년여성),"1. 폐경 이후 여성 호르몬, 에스트로겐 분비가 감소로 인한 신체적·정신적 변화 2. 골밀도 감소, 신체 활동량 감소 등이 원인이 되어 관절과 뼈에 이상 증상 발생","1. 진세노사이드, 석류농축액, 백수오 등 복합추출물, 회화나무열매추출물, 석류추출물, 루바브뿌리추출물, 오미자추출물, 피크노제놀-프랑스해안송껍칠추출물 2. 초록입홍합추출오일, N-아세틸글루코사민, MSM(디메틸설폰)",
임산부,태아의 세포와 혈액의 생성에 필요,"임신 3개월 전부터 임신 13주 경까지: 엽산 단일제제, 종합 비타민, 비타민 D, EPA 및 DHA 함유유지(오메가3), 프로바이오틱스",
수험생,"피로 회복, 면역력 증진, 오랜 시간 학습으로 인한 눈의 피로","홍삼, 인삼, 알로에, 매실추출물, 클로렐라, 비타민, 마리골드꽃추출물(루테인), 헤마토코쿠스 추출물, 빌베리추출물",
"중장년, 노년층",1. 나이가 들어감에 따라 활성산소를 제거하는 능력이 감소 2. 기억력 감소,"1. 녹차추출물에 포함된 카테킨, 클로렐라의 엽록소 성분, 스피루리나, 코엔자임Q10,포도종자추출물, 피크노제놀-프랑스해안송껍질추출물PME88, 메론추출물, 비즈왁스알코올대나무잎추출물, 복분자추출물유비퀴놀(ubiquinol) 2. 홍삼과 EPA 및 DHA 함유 유지, 녹차추출물, 테아닌, 구기자추출물, 참당귀뿌리추출물, 피브로인추출물, 원지추출분말, 유산균 발효 다시마추출물, 비파엽추출물, 천마 등 복합추출물, 인삼가시오갈피 등 혼합추출물",
어린이 ,"1. 면역체계가 약한 어린이들 2. 키성장, 영양균형","1. 알로에겔, 클로렐라, 알콕시글리세롤 함유 상어간유 2. 황기추출물등 복합물, 비타민A, 비타민B군, 비타민D, 아연, 마그네슘, 단백질 ",
갱년기남성,,"MR-10민들레등복합추출물, 옻나무 추출분말, 호로파종자 등 추출복합물",
20대 ,"1. 바람직하지 않은 식생활, 지나친 음주 및 비만 (간 기능 약화) 2. ","1. 표고버섯균사체추출물, 표고버섯균사체, 복분자추출분말, 유산균발효 다시마추출물, 도라지추출물, 유산균발효마늘추출물, 발효울금, 브로콜리스프라우트분말, 곰피추출물, 헛개나무과병추출분말, 댕댕이나무열매추출분말
",
2030 다이어터 ,체지방 감소를 위해,"가르시니아 캄보지아 껍질 추출물, 녹차추출물, 대두배아추출물, 미역등복합추출물(잔티젠),시서스추출물, 그린커피빈주정추출물, 락토바실러스 가세리(Lactobacillus gasseri) BNR17, 와일드 망고 종자추출물, 풋사과 추출 폴리페놀, 키토산/키토올리고당, 공액리놀레산",
탄탄한 근육질 몸매를 원하는 남성,"신경 기능과 근육 유지에 도움, 운동능력 향상을 위함, 지구력 증진","비타민B군(B1·B2), 마그네슘, 단백질, 크레아틴, 옥타코사놀 함유 유지",
피부고민 ,1. 수분보충 2. 자외선에 의한 피부 손상,"1. 비타민A,  N-아세틸글루코사민,  히알루론산, 알로에겔, 클로렐라, 스피루리나, 곤약감자추출물, 쌀겨추출물, 지초추출물 2. 핑거루트추출분말, 메론추출물, 포스파티딜세린, 소나무껍질추출물등 복합물, 홍삼, 사상자, 산수유 복합추출물",
수면장애 ,,"감태추출물, 미강주정추출물, 유단백가수분해물(락티움)",
